순위,가수,노래
1,태연 (TAEYEON),INVU
2,임영웅,사랑은 늘 도망가
3,김민석 (멜로망스),취중고백
4,MSG워너비(M.O.M),듣고 싶을까
5,STAYC(스테이씨),RUN2U
6,GAYLE,abcdefu
7,케이시 (Kassy),언제나 사랑해
8,IVE (아이브),ELEVEN
9,휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
10,YENA (최예나),SMILEY (Feat. BIBI)
11,GOT the beat,Step Back
12,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
13,멜로망스,사랑인가 봐
14,"경서예지, 전건호",다정히 내 이름을 부르면
15,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
16,임영웅,이제 나만 믿어요
17,탑현,호랑수월가
18,"The Kid LAROI, Justin Bieber",STAY
19,이무진,신호등
20,aespa,Next Level
21,이무진,눈이 오잖아(Feat.헤이즈)
22,BE'O (비오),Counting Stars (Feat. Beenzino)
23,aespa,Dreams Come True
24,폴킴,어제처럼
25,임영웅,다시 사랑한다면 (김필 Ver.)
26,아이유,strawberry moon
27,임영웅,그대라는 사치
28,임영웅,별빛 같은 나의 사랑아
29,태연 (TAEYEON),Weekend
30,아이유,드라마
31,임영웅,잊었니
32,aespa,Savage
33,방탄소년단,Butter
34,임영웅,HERO
35,방탄소년단,Dynamite
36,태연 (TAEYEON),Can't Control Myself
37,임영웅,끝사랑
38,노을,잊을 수 있을까
39,주시크 (Joosiq),너를 생각해
40,방탄소년단,Permission to Dance
41,아이유,겨울잠
42,베이식 (Basick),만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
43,MSG워너비(M.O.M),바라만 본다
44,비투비,노래 (The Song)
45,아이유,라일락
46,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
47,임영웅,Bk Love
48,10CM,서랍
49,아이유,Celebrity
50,"Coldplay, 방탄소년단",My Universe
51,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
52,BE'O (비오),문득
53,방탄소년단,봄날
54,V,Christmas Tree
55,비비 (BIBI),우리가 헤어져야 했던 이유
56,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment)
57,Ed Sheeran,Bad Habits
58,이예준,내 생에 아름다운
59,아이유,Blueming
60,아이유,내 손을 잡아
61,헤이즈 (Heize),헤픈 우연
62,에픽하이 (EPIK HIGH),그래서 그래 (Feat. 윤하)
63,원슈타인,존재만으로
64,AKMU (악뮤),낙하 (with 아이유)
65,경서,밤하늘의 별을(2020)
66,이승윤,언덕나무
67,먼데이 키즈 (Monday Kiz),흰눈
68,먼데이 키즈 (Monday Kiz),너 아니면 안돼
69,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
70,Justin Bieber,Off My Face
71,멜로망스,고백
72,브레이브걸스,롤린 (Rollin')
73,오마이걸 (OH MY GIRL),Dun Dun Dance
74,성시경,너의 모든 순간
75,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
76,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
77,마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
78,BE'O (비오),네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY)
79,정동하,추억은 만남보다 이별에 남아
80,임영웅,계단말고 엘리베이터
81,Kelly Clarkson,Stronger (What Doesn't Kill You)
82,Mudd the student,불협화음 (Feat. AKMU) (Prod. GRAY)
83,"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일",Wake Up (Prod. 코드 쿤스트)
84,"아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student",쉬어 (Feat. MINO) (Prod. GRAY)
85,송이한,밝게 빛나는 별이 되어 비춰줄게
86,산들,취기를 빌려 (취향저격 그녀 X 산들)
87,멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
88,이예준,사랑이 아니었다고 말하지 마요
89,"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) (BTS Remix)
90,이예준,그날에 나는 맘이 편했을까
91,태연 (TAEYEON),그런 밤 (Some Nights)
92,황인욱,강변북로
93,적재,"손을 잡는다거나, 같이 걷는다거나"
94,프로미스나인,DM
95,Apink (에이핑크),Dilemma
96,태일 (TAEIL),Starlight
97,정국,Stay Alive (Prod. SUGA of BTS)
98,쿠기 (Coogie),Good Night (Feat. BE'O)
99,"선예, 임슬옹",대낮에 한 이별
100,방탄소년단,Life Goes On
